Row, Site, Dept, Chassis, Slot, PortGroup, PortIdx, Connection, Name, Status, Firmware, OwnershipState, OwnerHostname, OwnerUserId, OwnerTimestamp, Notes, Last Scan
28, CHN, TBD, 10.61.37.10, 2, 2, 4,TBD, PhysicalPortGroup 2226, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
29, CHN, TBD, 10.61.37.10, 2, 3, 5,TBD, PhysicalPortGroup 2227, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, BEJ-YTiandell, Ytian, Mon Oct 25 15:50:11 2010,None,2010-10-26 04:52:00
30, CHN, TBD, 10.61.37.10, 2, 3, 6,TBD, PhysicalPortGroup 2227, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, BEJ-YTiandell, Ytian, Mon Oct 25 15:50:11 2010,None,2010-10-26 04:52:00
31, CHN, TBD, 10.61.37.10, 2, 4, 7,TBD, PhysicalPortGroup 2228, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, BEJ-YTiandell, Ytian, Mon Oct 25 15:50:11 2010,None,2010-10-26 04:52:00
32, CHN, TBD, 10.61.37.10, 2, 4, 8,TBD, PhysicalPortGroup 2228, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, BEJ-YTiandell, Ytian, Mon Oct 25 15:50:11 2010,None,2010-10-26 04:52:00
33, CHN, TBD, 10.61.37.10, 3, 1, 1,TBD, PhysicalPortGroup 2229, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
34, CHN, TBD, 10.61.37.10, 3, 1, 2,TBD, PhysicalPortGroup 2229, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
35, CHN, TBD, 10.61.37.10, 3, 2, 3,TBD, PhysicalPortGroup 2230, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
36, CHN, TBD, 10.61.37.10, 3, 2, 4,TBD, PhysicalPortGroup 2230, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
37, CHN, TBD, 10.61.37.10, 3, 3, 5,TBD, PhysicalPortGroup 2231, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
